Title,Links_antes_REFERENCES,Links_depois_REFERENCES,DOI,Artifact Available,Artifact Reusable,Artifact Functional
Software Engineering Research in a World with Generative Artificial Intelligence,,,https://dl.acm.org/doi/10.1145/3597503.3649399,False,False,False
Trustworthy by Design,,,https://dl.acm.org/doi/10.1145/3597503.3649400,False,False,False
Domain Knowledge Matters: Improving Prompts with Fix Templates for Repairing Python Type Errors,https://github.com/JohnnyPeng18/TypeFix.,https://github.com/features/copilot.;https://github.com/python/mypy/.,https://dl.acm.org/doi/10.1145/3597503.3608132,False,False,False
Practical Program Repair via Preference-based Ensemble Strategy,https://github.com/kwz219/P-EPR-Artefact,,https://dl.acm.org/doi/10.1145/3597503.3623310,False,False,False
BinAug: Enhancing Binary Similarity Analysis with Low-Cost Input Repairing,,https://github.com/wwkenwong/BinAug/.,https://dl.acm.org/doi/10.1145/3597503.3623328,False,False,False
VeRe: Verification Guided Synthesis for Repairing Deep Neural Networks,,https://github.com/fastai/;https://github.com/nninjn/VeRe;https://github.com/eth-sri/eran;https://github.com/Ace0001/RUNNER.,https://dl.acm.org/doi/10.1145/3597503.3623332,True,True,False
ITER: Iterative Neural Repair for Multi-Location Patches,https://github.com/GZoltar/gzoltar/releases/tag/v1.7.2.,,https://dl.acm.org/doi/10.1145/3597503.3623337,False,False,False
EGFE: End-to-end Grouping of Fragmented Elements in UI Designs with Multimodal Learning,https://github.com/test2975/EGFE,,https://dl.acm.org/doi/10.1145/3597503.3623313,False,False,False
A Comprehensive Study of Learning-based Android Malware Detectors under Challenging Environments,,https://github.com/Maruko912/AMDs.,https://dl.acm.org/doi/10.1145/3597503.3623320,False,False,False
Toward Automatically Completing GitHub Workflows,,https://github.com/marketplace?type=actions.;https://github.com/antonio-mastropaolo/GH-,https://dl.acm.org/doi/10.1145/3597503.3623351,False,False,False
UniLog: Automatic Logging via LLM and In-Context Learning,https://github.com/google/google-java-format/,,https://dl.acm.org/doi/10.1145/3597503.3623326,False,False,False
Predicting Performance and Accuracy of Mixed-Precision Programs for Precision Tuning,https://github.com/ucd-plse/FPLearner.,,https://dl.acm.org/doi/10.1145/3597503.3623338,True,True,False
Dataflow Analysis-Inspired Deep Learning for Efficient Vulnerability Detection,https://github.com/davidhin/linevd;https://github.com/dbgbench/dbgbench.github.io/blob/master/patches/find.,,https://dl.acm.org/doi/10.1145/3597503.3623345,True,True,False
Large Language Models for Test-Free Fault Localization,https://figshare.com/s/35f36bff735d3c805a89;https://github.com/qemu/qemu;https://figshare.com/s/35f36bff735d3c805a89.,,https://dl.acm.org/doi/10.1145/3597503.3623342,False,False,False
CrashTranslator: Automatically Reproducing Mobile Application Crashes Directly from Stack Trace,https://github.com/wuchiuwong/CrashTranslator,https://github.com/saswatanand/ella.;https://github.com.;https://github.com/tjusenchen/StoryDistiller.,https://dl.acm.org/doi/10.1145/3597503.3623298,False,False,False
Reorder Pointer Flow in Sound Concurrency Bug Prediction,,https://github.com/parasol-aser/UFO.;https://github.com/wcventure/PERIOD.,https://dl.acm.org/doi/10.1145/3597503.3623300,False,False,False
Object Graph Programming,,https://github.com/EngineeringSoftware/ogo.;https://github.com/Wolfgang-Schuetzelhofer/jcypher.,https://dl.acm.org/doi/10.1145/3597503.3623319,False,False,False
Semantic Analysis of Macro Usage for Portability,https://github.com/appleseedlab/macro-analyzer,"https://github.com/appleseedlab/superc/tree/master/;https://zenodo.org/record/8326488,;https://github.com/elliotchance/c2go,;https://github.com/correctcomputation/;https://github.com/correctcomputation/;https://github.com/correctcomputation/;https://github.com/correctcomputation/;https://github.com/immunant/c2rust/issues/16,;https://github.com/immunant/c2rust,;https://github.com/itu-square/c-;https://github.com/lua/lua,;https://github.com/Microsoft/checkedc/,;https://github.com/rust-lang/rust,;https://github.com/torvalds/linux/;https://github.com/torvalds/linux/blob/master/Documentation/",https://dl.acm.org/doi/10.1145/3597503.3623323,True,True,False
NuzzleBug: Debugging Block-Based Programs in Scratch,https://figshare.com/s/68281791e01be5179699;https://figshare.com/s/68281791e01be5179699;https://github.com/se2p/nuzzlebug,https://github.com/IntelligentDDS/LogShrink,https://dl.acm.org/doi/10.1145/3597503.3623331,False,False,False
LogShrink: Effective Log Compression by Leveraging Commonality and Variability of Log Data,,https://zenodo.org/record/3227177.;https://github.com/logpai/logzip.;https://github.com/THUBear-wjy/LogReducer.;https://github.com/niklas-,https://dl.acm.org/doi/10.1145/3597503.3608129,False,False,False
Demystifying Compiler Unstable Feature Usage and Impacts in the Rust Ecosystem,,https://github.com/rust-lang/rust/issues/88583.;https://github.com/Rust-for-Linux/linux/;https://github.com/koute/;https://github.com/Rust-for-;https://github.com/;https://github.com/rustwasm.,https://dl.acm.org/doi/10.1145/3597503.3623352,True,True,False
Resource Usage and Optimization Opportunities in Workflows of GitHub Actions,https://github.com/search,,https://dl.acm.org/doi/10.1145/3597503.3623303,True,True,False
Revealing Hidden Threats: An Empirical Study of Library Misuse in Smart Contracts,,https://github.com/Uniswap/v2-;https://github.com/fei-protocol/fei-protocol-;https://github.com/fei-;https://github.com/fei-protocol/fei-protocol-core/pull/;https://github.com/OpenZeppelin/;https://github.com/OpenZeppelin/openzeppelin-contracts/blob/;https://github.com/OpenZeppelin/;https://github.com/tintinweb/smart-;https://github.com/,https://dl.acm.org/doi/10.1145/3597503.3623335,False,False,False
Fine-SE: Integrating Semantic Features and Expert Features for Software Effort Estimation,https://github.com/yueli-se/Fine-SE;https://github.com/yueli-se/Fine-SE,https://github.com/,https://dl.acm.org/doi/10.1145/3597503.3623349,False,False,False
Enabling Runtime Verification of Causal Discovery Algorithms with Automated Conditional Independence Reasoning,,https://github.com/py-why/causal-learn.,https://dl.acm.org/doi/10.1145/3597503.3623348,False,False,False
Modularizing while Training: A New Paradigm for Modularizing DNN Models,https://github.com/qibinhang/MwT.,https://github.com/facebookresearch/fvcore.;https://github.com/qibinhang/MwT.;https://github.com/LeaperOvO/KnowLog.,https://dl.acm.org/doi/10.1145/3597503.3608135,True,True,False
KnowLog: Knowledge Enhanced Pre-trained Language Model for Log Understanding,,https://github.com/NougatCA/FAIR.,https://dl.acm.org/doi/10.1145/3597503.3623304,False,False,False
FAIR: Flow Type-Aware Pre-Training of Compiler Intermediate Representations,https://github.com/Jur1cek/gcj-dataset;https://github.com/danieldk/approx-rand-test,,https://dl.acm.org/doi/10.1145/3597503.3608136,False,False,False
Exploring the Potential of ChatGPT in Automated Code Refinement: An Empirical Study,,https://github.com/f/,https://dl.acm.org/doi/10.1145/3597503.3623306,False,False,False
Deep Learning or Classical Machine Learning? An Empirical Study on Log-Based Anomaly Detection,,https://github.com/logpai/deep-loglizer;https://github.com/logpai/loglizer;https://github.com/,https://dl.acm.org/doi/10.1145/3597503.3623308,False,False,False
TRACED: Execution-aware Pre-training for Source Code,https://github.com/ARiSE-Lab/TRACED_ICSE_24.git.,,https://dl.acm.org/doi/10.1145/3597503.3608140,False,False,False
CoderEval: A Benchmark of Pragmatic Code Generation with Generative Pre-trained Models,,https://github.com/openai/human-eval/;https://github.com/CoderEval/CoderEval.,https://dl.acm.org/doi/10.1145/3597503.3623316,True,True,False
Inferring Data Preconditions from Deep Learning Models for Trustworthy Prediction in Deployment,,https://github.com/shibbirtanvin/DeepInfer.;https://github.com/ParagonLight/dissector.;https://github.com/gmy2013/LLM_Comment_Generation.,https://dl.acm.org/doi/10.1145/3597503.3623333,True,True,False
Title,,https://github.com/gsantner/markor/issues/1020/.;https://github.com/SageSELab/UI-Bug-Localization-;https://github.com/microsoft/CodeBERT/tree/master/;https://github.com/MGYN/DeMistify.;https://github.com/CirQ/ObfDetector.;https://github.com/Sable/soot.;https://github.com/marketplace?category=&query=&type=actions&verification=;https://github.com/;https://github.com/marketplace?type=actions;https://github.com/fronchetti/ICSE-2024;https://github.com/fronchetti/icse-2024/;https://github.com/CycloneDX/specification;https://github.com/package-url/purl-spec.;https://github.com/spdx/spdx-examples/;https://github.com/;https://github.com/;https://github.com/;https://github.com/,,,,
EDEFuzz: A Web API Fuzzer for Excessive Data Exposures,https://github.com/Broken-Assumptions/,https://github.com/bitnine-oss/agensgraph/issues/595;https://github.com/RedisGraph/RedisGraph/issues/2865;https://github.com/YuanchengJiang/GraphGenie,https://dl.acm.org/doi/10.1145/3597503.3608133,True,False,False
Detecting Logic Bugs in Graph Database Management Systems via Injective and Surjective Graph Query Transformation,https://github.com/neo4j-graph-examples/recommendations;https://github.com/opencypher/cypher-for-gremlin;https://github.com/neo4j-graph-examples/cybersecurity;https://github.com/neo4j-graph-examples/recommendations;https://github.com/RedisGraph/RedisGraph/issues/2744;https://github.com/RedisGraph/RedisGraph/issues/2865;https://github.com/neo4j/neo4j/issues/12968;https://github.com/neo4j/neo4j/issues/12991;https://github.com/bitnine-oss/agensgraph/issues/609;https://github.com/bitnine-oss/agensgraph/issues/595;https://github.com/neo4j/neo4j/issues/12887;https://github.com/neo4j/neo4j/issues/12884;https://github.com/neo4j/neo4j/issues/12973;https://github.com/neo4j/neo4j/issues/13034,https://github.com/anse1/;https://github.com/RedisGraph/RedisGraph.,https://dl.acm.org/doi/10.1145/3597503.3623307,True,False,False
Do Automatic Test Generation Tools Generate Flaky Tests?,https://github.com/cloverzrg/cosmos-sdk-java;https://github.com/sernst/kuber;https://github.com/krka/mockachino/tree/9bcdda05,,https://dl.acm.org/doi/10.1145/3597503.3608138,False,False,False
ECFuzz: Effective Configuration Fuzzing for Large-Scale Systems,https://github.com/ecfuzz/ECFuzz;https://github.com/xlab-uiuc/cdep-fse-ae/blob/master/cDep_result/intra.csv,,https://dl.acm.org/doi/10.1145/3597503.3623315,True,True,False
Improving Testing Behavior by Gamifying IntelliJ,,,https://dl.acm.org/doi/10.1145/3597503.3623339,False,False,False
SCTrans: Constructing a Large Public Scenario Dataset for Simulation Testing of Autonomous Driving Systems,https://github.com/lgsvl/simulator/tree/release-2021.1/Assets/Scripts/ScenarioEditor/Data,"https://github.com/autowarefoundation/autoware,;https://github.com/autowarefoundation/autoware_;https://github.com/carla-simulator/scenario_runner,;https://github.com/esmini/esmini,;https://github.com/ApolloAuto/apollo,;https://github.com/asam-oss/OSC-ALKS-scenarios,;https://github.com/jordansissel/xdotool,",https://dl.acm.org/doi/10.1145/3597503.3623350,True,True,False
Co-Creation in Fully Remote Software Teams,,,https://dl.acm.org/doi/10.1145/3597503.3623297,True,True,False
