Title,DOI,Artifact Available,Artifact Reusable,Artifact Functional
Learning-to-rank vs ranking-to-learn: strategies for regression testing in continuous integration,https://dl.acm.org/doi/10.1145/3377811.3380369,False,False,False
A cost-efficient approach to building in continuous integration,https://dl.acm.org/doi/10.1145/3377811.3380437,False,False,False
Practical fault detection in puppet programs,https://dl.acm.org/doi/10.1145/3377811.3380384,True,True,False
"Learning from, understanding, and supporting DevOps artifacts for docker",https://dl.acm.org/doi/10.1145/3377811.3380406,True,True,False
Adapting requirements models to varying environments,https://dl.acm.org/doi/10.1145/3377811.3380927,False,False,False
Comparing formal tools for system design: a judgment study,https://dl.acm.org/doi/10.1145/3377811.3380373,False,False,False
Debugging inputs,https://dl.acm.org/doi/10.1145/3377811.3380329,True,True,False
Causal testing: understanding defects' root causes,https://dl.acm.org/doi/10.1145/3377811.3380377,True,True,False
Impact analysis of cross-project bugs on software ecosystems,https://dl.acm.org/doi/10.1145/3377811.3380442,False,False,False
Taming behavioral backward incompatibilities via cross-project testing and analysis,https://dl.acm.org/doi/10.1145/3377811.3380436,False,False,False
Watchman: monitoring dependency conflicts for Python library ecosystem,https://dl.acm.org/doi/10.1145/3377811.3380426,True,True,False
One size does not fit all: a grounded theory and online survey study of developer preferences for security warning types,https://dl.acm.org/doi/10.1145/3377811.3380387,False,False,False
Schrödinger's security: opening the box on app developers' security rationale,https://dl.acm.org/doi/10.1145/3377811.3380394,False,False,False
How software practitioners use informal local meetups to share software engineering knowledge,https://dl.acm.org/doi/10.1145/3377811.3380333,False,False,False
Predicting developers' negative feelings about code review,https://dl.acm.org/doi/10.1145/3377811.3380414,False,False,False
Near-duplicate detection in web app model inference,https://dl.acm.org/doi/10.1145/3377811.3380416,True,False,False
Extracting taint specifications for JavaScript libraries,https://dl.acm.org/doi/10.1145/3377811.3380390,False,False,False
SLACC: simion-based language agnostic code clones,https://dl.acm.org/doi/10.1145/3377811.3380407,False,True,False
Finding client-side business flow tampering vulnerabilities,https://dl.acm.org/doi/10.1145/3377811.3380355,False,False,False
Securing unsafe rust programs with XRust,https://dl.acm.org/doi/10.1145/3377811.3380325,False,True,False
Is rust used safely by software developers?,https://dl.acm.org/doi/10.1145/3377811.3380413,False,False,False
Burn after reading: a shadow stack with microsecond-level runtime rerandomization for protecting return addresses,https://dl.acm.org/doi/10.1145/3377811.3380439,True,False,False
